# perf/beyond campaign baseline — STATUS: VALID (attempt 3, blessed 2026-09-02)
#
# Recorded at cc64579 (the branch point; U0's two docs commits touch no code), sibling
# walnut-java at 14509f1 (bugfix/wb-001), jar target/Walnut-all.jar (2026-08-22 build),
# same machine/methodology as benches/STATUS.md (8 cores: 4P+4E, AC power).
# Three full 'cargo run -p wr-bench --release --bin compare' runs, 10:56-11:02; every
# answer check green; all 9 automaton-valued workloads match the recorded corpus automata.
#
# Environment, stated honestly: 1-min load 2.5-5.8 during the runs, including ONE
# unrelated single-threaded python3 process pinned at ~100% of one core throughout.
# Cross-run tightness is the evidence the baseline is credible anyway: Rust medians agree
# to ~2% on 10 of 11 fixtures (worst: 179 at ~7%), Java medians to ~7%, and the values
# reproduce the historical quiet-machine U34/refactor-U0 tables. Attempts 1-2 (appendix
# below) show what an UNFIT machine does to the same code: load 10-34, swings up to 19x.
#
# THE CAMPAIGN BASELINE (median-of-3-run-medians; speedup = java/rust):
#
#  fix   rust med-of-med   java med-of-med   speedup
#    1        391.416 µs        652.687 µs     1.67x
#  207        300.312 µs        414.562 µs     1.38x
#  293         31.898 ms         85.531 ms     2.68x
#  521         19.692 ms         49.554 ms     2.52x
#  179        112.761 ms        328.359 ms     2.91x
#  266         35.927 ms         89.490 ms     2.49x
#  230        547.925 ms          1.892 s      3.45x
#  295         69.427 ms        151.179 ms     2.18x
#  261        109.565 ms        251.650 ms     2.30x
#  286        176.045 ms        403.366 ms     2.29x
#  637         23.637 ms         63.390 ms     2.68x
#
# Reading: the two sub-ms rows measure per-command overhead; the nine engine-bound rows
# sit at 2.18x-3.45x. The dispatch's >10x aspiration means ~3-4x more off the port's own
# times. Unit A/Bs compare against THIS table, with a same-session re-run of the old
# commit before any headline claim (the dispatch's rule 1).
#
# Peak-state note: the port's details trace names the same peak as Java's on all 11
# fixtures (U28 closed the Logging gap); benches/README.md's 'lower bound' caveat is
# stale — docs touch-up queued in RESUME-HERE.md.

## attempt-3 run 1 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50   482.000 µs   409.000 µs   737.907 µs   652.687 µs     1.53x            6           6
207      50   342.106 µs   304.042 µs   453.974 µs   414.562 µs     1.33x            3           3
293      20    33.505 ms    31.716 ms    85.337 ms    86.000 ms     2.55x        12334       12334
521      20    19.776 ms    19.653 ms    49.755 ms    49.554 ms     2.52x            3           3
179      20   113.460 ms   112.432 ms   331.241 ms   328.359 ms     2.92x        33000       33000
266      20    36.222 ms    35.927 ms    90.372 ms    89.490 ms     2.49x         7657        7657
230       5   547.650 ms   547.756 ms      1.938 s      1.892 s     3.54x       115802      115802
295      20    71.342 ms    70.099 ms   159.395 ms   155.788 ms     2.23x        11589       11589
261      20   110.753 ms   108.178 ms   251.703 ms   251.650 ms     2.27x        18674       18674
286      20   176.043 ms   173.721 ms   422.174 ms   417.720 ms     2.40x        34988       34988
637      20    23.812 ms    23.819 ms    64.654 ms    63.948 ms     2.72x         4965        4965


############################################################################
# APPENDIX: discarded attempts 1-2 (unfit machine), kept as evidence
############################################################################
#
# 2026-09-02, attempt 1: three full 'cargo run -p wr-bench --release --bin compare' runs
# at cc64579 (branch point), sibling walnut-java at 14509f1 (bugfix/wb-001), same jar as
# the refactor-U0 baseline. All 33 answer checks green; all 9 automaton-valued workloads
# match the recorded corpus automata. BUT the numbers are NOT usable as the campaign
# baseline and no medians-of-medians are blessed here, because the machine was measurably
# unfit during the runs:
#   - two unrelated python3 processes at ~99% CPU each (load averages 10.42 / 17.22 / 16.43)
#   - on battery power, 16% and discharging (Apple Silicon throttles on battery)
# Observed effect: fixture 230's Java median spans 3.86s..14.85s across the three runs;
# Rust's own 230 median spans 0.70s..2.07s on identical code; run 2's fixture 286 mean is
# 2.3x its median. Per the dispatch's honest-measurement rule, this file records the raw
# tables as evidence and blesses nothing. Re-run on a quiet, plugged-in machine and replace
# this header with the real medians-of-medians before any unit's A/B claims anything.
#
# One real finding: the port's details trace now equals Java's peak on all 11 fixtures
# (U28's Logging threading) — benches/README.md's 'lower bound' caveat is stale.

## attempt-1 run 1 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50     2.796 ms     2.030 ms     5.602 ms     4.333 ms     2.00x            6           6
207      50     1.982 ms     1.798 ms     4.307 ms     3.317 ms     2.17x            3           3
293      20    57.613 ms    48.198 ms   294.606 ms   264.415 ms     5.11x        12334       12334
521      20    28.856 ms    24.866 ms   309.751 ms   289.335 ms    10.73x            3           3
179      20   152.863 ms   151.544 ms   560.917 ms   529.024 ms     3.67x        33000       33000
266      20    52.213 ms    46.428 ms   181.033 ms   161.118 ms     3.47x         7657        7657
230       5   886.463 ms   923.478 ms     14.628 s     14.845 s    16.50x       115802      115802
295      20   229.361 ms   167.956 ms      1.218 s   732.515 ms     5.31x        11589       11589
261      20   142.783 ms   140.065 ms   741.059 ms   648.246 ms     5.19x        18674       18674
286      20   230.515 ms   212.894 ms   614.277 ms   584.760 ms     2.66x        34988       34988
637      20    28.915 ms    27.474 ms    99.336 ms    93.768 ms     3.44x         4965        4965

## attempt-1 run 2 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50     1.358 ms     1.247 ms     3.676 ms     3.013 ms     2.71x            6           6
207      50   756.525 µs   752.208 µs     1.326 ms     1.275 ms     1.75x            3           3
293      20    59.907 ms    52.852 ms   190.545 ms   176.298 ms     3.18x        12334       12334
521      20    36.985 ms    35.255 ms   127.533 ms   106.512 ms     3.45x            3           3
179      20   139.828 ms   126.227 ms   562.885 ms   509.625 ms     4.03x        33000       33000
266      20    46.766 ms    40.238 ms   123.186 ms   104.645 ms     2.63x         7657        7657
230       5   694.607 ms   698.018 ms      3.988 s      3.863 s     5.74x       115802      115802
295      20   108.160 ms    75.059 ms   270.538 ms   257.371 ms     2.50x        11589       11589
261      20   429.914 ms   328.390 ms   661.663 ms   575.193 ms     1.54x        18674       18674
286      20   676.298 ms   299.377 ms   677.748 ms   683.840 ms     1.00x        34988       34988
637      20    26.443 ms    25.822 ms    96.622 ms    93.025 ms     3.65x         4965        4965

## attempt-1 run 3 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50   501.290 µs   403.646 µs   956.162 µs   733.437 µs     1.91x            6           6
207      50   354.640 µs   325.854 µs   484.243 µs   472.729 µs     1.37x            3           3
293      20    33.690 ms    33.417 ms   117.147 ms   110.863 ms     3.48x        12334       12334
521      20    22.279 ms    21.327 ms    66.610 ms    66.761 ms     2.99x            3           3
179      20   149.898 ms   145.782 ms      1.204 s      1.088 s     8.03x        33000       33000
266      20   120.742 ms   111.055 ms   480.538 ms   478.730 ms     3.98x         7657        7657
230       5      2.149 s      2.070 s      5.744 s      5.440 s     2.67x       115802      115802
295      20   172.071 ms   171.380 ms   579.240 ms   598.323 ms     3.37x        11589       11589
261      20   197.263 ms   173.320 ms   687.743 ms   651.269 ms     3.49x        18674       18674
286      20   220.307 ms   216.300 ms   652.845 ms   658.649 ms     2.96x        34988       34988
637      20    43.309 ms    41.657 ms    81.793 ms    73.866 ms     1.89x         4965        4965


## attempt 2 (2026-09-02, ~10:09-10:31): ALSO DISCARDED — machine contention, not power
# AC power restored (battery charging), but the machine (8 cores: 4P+4E) ran at load
# average 7 -> 24 -> 34 during the three runs: multiple concurrent Claude Code sessions
# (10-50% CPU each), Lean loogle/lake builds, and a VM. Fixture 261's Rust median swung
# 115 ms / 2.21 s / 161 ms across identical code; two rows flipped to Java-faster on
# noise alone. All answer checks green again (66/66 cumulative). No medians blessed.

## attempt-2 run 1 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50   718.959 µs   438.104 µs     1.212 ms   829.875 µs     1.69x            6           6
207      50     2.535 ms     1.408 ms     2.099 ms     1.749 ms     0.83x            3           3
293      20    44.240 ms    41.049 ms   190.392 ms   167.164 ms     4.30x        12334       12334
521      20    30.139 ms    28.154 ms   139.709 ms   134.799 ms     4.64x            3           3
179      20   116.026 ms   113.724 ms   466.110 ms   444.557 ms     4.02x        33000       33000
266      20    45.858 ms    38.837 ms   185.239 ms   144.470 ms     4.04x         7657        7657
230       5   987.908 ms   972.785 ms      8.328 s      6.397 s     8.43x       115802      115802
295      20   203.173 ms   185.059 ms   569.586 ms   552.137 ms     2.80x        11589       11589
261      20   117.057 ms   114.810 ms   509.252 ms   519.742 ms     4.35x        18674       18674
286      20   218.694 ms   218.509 ms   460.082 ms   453.816 ms     2.10x        34988       34988
637      20    24.538 ms    24.344 ms   150.987 ms   137.849 ms     6.15x         4965        4965


## attempt-2 run 2 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50   704.419 µs   410.896 µs     1.042 ms   810.333 µs     1.48x            6           6
207      50     1.036 ms     1.040 ms     2.385 ms     2.191 ms     2.30x            3           3
293      20   193.572 ms   109.634 ms   326.015 ms   328.963 ms     1.68x        12334       12334
521      20    33.795 ms    33.549 ms   166.091 ms   133.447 ms     4.91x            3           3
179      20   200.378 ms   188.814 ms      1.563 s      1.188 s     7.80x        33000       33000
266      20    59.039 ms    54.129 ms   387.711 ms   344.322 ms     6.57x         7657        7657
230       5      2.640 s      1.993 s      6.770 s      6.851 s     2.56x       115802      115802
295      20   299.864 ms   181.926 ms      1.363 s      1.264 s     4.55x        11589       11589
261      20      2.370 s      2.208 s      1.918 s      1.624 s     0.81x        18674       18674
286      20   182.891 ms   184.312 ms   396.843 ms   396.105 ms     2.17x        34988       34988
637      20    23.703 ms    23.622 ms    61.599 ms    60.716 ms     2.60x         4965        4965


## attempt-2 run 3 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50   955.648 µs   442.624 µs   694.817 µs   630.104 µs     0.73x            6           6
207      50   338.740 µs   341.437 µs   417.186 µs   411.396 µs     1.23x            3           3
293      20    31.767 ms    31.704 ms   100.153 ms    89.432 ms     3.15x        12334       12334
521      20    20.420 ms    20.253 ms    63.722 ms    56.927 ms     3.12x            3           3
179      20   120.148 ms   116.837 ms   816.823 ms   503.960 ms     6.80x        33000       33000
266      20    93.100 ms    77.630 ms   602.567 ms   522.450 ms     6.47x         7657        7657
230       5      1.431 s      1.333 s      9.352 s      8.198 s     6.54x       115802      115802
295      20   197.917 ms   139.908 ms   234.554 ms   215.656 ms     1.19x        11589       11589
261      20   162.251 ms   161.319 ms   742.124 ms   536.546 ms     4.57x        18674       18674
286      20   264.126 ms   252.307 ms      1.685 s      1.537 s     6.38x        34988       34988
637      20    40.774 ms    37.570 ms   155.823 ms   146.298 ms     3.82x         4965        4965

